airline,carrier_name,src,dst,dst_country,region,equipment,aircraft_name,eis_year,type_vintage_age,body,is_widebody,seats,distance_km,dest_connectivity,is_africa
AF,Air France,ATL,BNA,United States,North America,73H,Boeing 737-800 (winglets),1998,26,narrowbody,0,162,344.4330795074149,82,0
AF,Air France,ATL,BNA,United States,North America,717,Boeing 717,1999,25,narrowbody,0,106,344.4330795074149,82,0
AF,Air France,ATL,BNA,United States,North America,320,Airbus A320,1988,36,narrowbody,0,150,344.4330795074149,82,0
AF,Air France,ATL,BOS,United States,North America,M90,McDonnell Douglas MD-90,1995,29,narrowbody,0,158,1521.5537657651757,212,0
AF,Air France,ATL,BOS,United States,North America,757,Boeing 757-200,1983,41,narrowbody,0,200,1521.5537657651757,212,0
AF,Air France,ATL,BOS,United States,North America,320,Airbus A320,1988,36,narrowbody,0,150,1521.5537657651757,212,0
AF,Air France,ATL,BOS,United States,North America,738,Boeing 737-800,1998,26,narrowbody,0,162,1521.5537657651757,212,0
AF,Air France,ATL,BOS,United States,North America,319,Airbus A319,1996,28,narrowbody,0,124,1521.5537657651757,212,0
AF,Air France,ATL,BQK,United States,North America,CRJ,Bombardier CRJ-200,1992,32,regional_jet,0,50,383.55351979815015,3,0
AF,Air France,ATL,BRU,Belgium,Europe,76W,Boeing 767-300ER (winglets),1988,36,widebody,1,218,7106.023938289066,315,0
AF,Air France,ATL,BTR,United States,North America,CR7,Bombardier CRJ-700,2001,23,regional_jet,0,70,720.9292278073489,8,0
AF,Air France,ATL,BTR,United States,North America,CRJ,Bombardier CRJ-200,1992,32,regional_jet,0,50,720.9292278073489,8,0
AF,Air France,ATL,BTR,United States,North America,319,Airbus A319,1996,28,narrowbody,0,124,720.9292278073489,8,0
AF,Air France,ATL,BTR,United States,North America,CR9,Bombardier CRJ-900,2003,21,regional_jet,0,90,720.9292278073489,8,0
AF,Air France,ATL,BTV,United States,North America,CR9,Bombardier CRJ-900,2003,21,regional_jet,0,90,1545.8883124764327,14,0
AF,Air France,ATL,BUF,United States,North America,M90,McDonnell Douglas MD-90,1995,29,narrowbody,0,158,1147.0626194832444,35,0
AF,Air France,ATL,BUF,United States,North America,M88,McDonnell Douglas MD-88,1987,37,narrowbody,0,150,1147.0626194832444,35,0
AF,Air France,ATL,BWI,United States,North America,M90,McDonnell Douglas MD-90,1995,29,narrowbody,0,158,927.5307689689373,144,0
AF,Air France,ATL,BWI,United States,North America,757,Boeing 757-200,1983,41,narrowbody,0,200,927.5307689689373,144,0
AF,Air France,ATL,BWI,United States,North America,320,Airbus A320,1988,36,narrowbody,0,150,927.5307689689373,144,0
AF,Air France,ATL,CAE,United States,North America,M88,McDonnell Douglas MD-88,1987,37,narrowbody,0,150,307.5885579580446,17,0
AF,Air France,ATL,CAE,United States,North America,CRJ,Bombardier CRJ-200,1992,32,regional_jet,0,50,307.5885579580446,17,0
AF,Air France,ATL,CAE,United States,North America,319,Airbus A319,1996,28,narrowbody,0,124,307.5885579580446,17,0
AF,Air France,ATL,CAE,United States,North America,717,Boeing 717,1999,25,narrowbody,0,106,307.5885579580446,17,0
AF,Air France,ATL,CAK,United States,North America,M88,McDonnell Douglas MD-88,1987,37,narrowbody,0,150,851.3024186481874,22,0
AF,Air France,ATL,CDG,France,Europe,77W,Boeing 777-300ER,2004,20,widebody,1,365,7055.72646139429,517,0
AF,Air France,ATL,CDG,France,Europe,744,Boeing 747-400,1989,35,widebody,1,416,7055.72646139429,517,0
AF,Air France,ATL,CDG,France,Europe,772,Boeing 777-200,1995,29,widebody,1,314,7055.72646139429,517,0
AF,Air France,ATL,CHA,United States,North America,CRJ,Bombardier CRJ-200,1992,32,regional_jet,0,50,171.04902083897997,16,0
AF,Air France,ATL,CHA,United States,North America,M88,McDonnell Douglas MD-88,1987,37,narrowbody,0,150,171.04902083897997,16,0
AF,Air France,ATL,CHO,United States,North America,CRJ,Bombardier CRJ-200,1992,32,regional_jet,0,50,734.755638156895,13,0
AF,Air France,ATL,CHS,United States,North America,320,Airbus A320,1988,36,narrowbody,0,150,416.06300813054,35,0
AF,Air France,ATL,CHS,United States,North America,M88,McDonnell Douglas MD-88,1987,37,narrowbody,0,150,416.06300813054,35,0
AF,Air France,ATL,CHS,United States,North America,73W,Boeing 737-700 (winglets),1998,26,narrowbody,0,143,416.06300813054,35,0
AF,Air France,ATL,CHS,United States,North America,717,Boeing 717,1999,25,narrowbody,0,106,416.06300813054,35,0
AF,Air France,ATL,CHS,United States,North America,319,Airbus A319,1996,28,narrowbody,0,124,416.06300813054,35,0
AF,Air France,ATL,CID,United States,North America,CRJ,Bombardier CRJ-200,1992,32,regional_jet,0,50,1117.5025110844736,18,0
AF,Air France,ATL,CLE,United States,North America,717,Boeing 717,1999,25,narrowbody,0,106,893.8160893493864,80,0
AF,Air France,ATL,CLE,United States,North America,CR9,Bombardier CRJ-900,2003,21,regional_jet,0,90,893.8160893493864,80,0
AF,Air France,ATL,CLT,United States,North America,M90,McDonnell Douglas MD-90,1995,29,narrowbody,0,158,364.56708046971005,299,0
AF,Air France,ATL,CLT,United States,North America,M88,McDonnell Douglas MD-88,1987,37,narrowbody,0,150,364.56708046971005,299,0
AF,Air France,ATL,CLT,United States,North America,319,Airbus A319,1996,28,narrowbody,0,124,364.56708046971005,299,0
AF,Air France,ATL,CMH,United States,North America,73W,Boeing 737-700 (winglets),1998,26,narrowbody,0,143,720.4056053118145,65,0
AF,Air France,ATL,CMH,United States,North America,M88,McDonnell Douglas MD-88,1987,37,narrowbody,0,150,720.4056053118145,65,0
AF,Air France,ATL,CMH,United States,North America,738,Boeing 737-800,1998,26,narrowbody,0,162,720.4056053118145,65,0
AF,Air France,ATL,COS,United States,North America,738,Boeing 737-800,1998,26,narrowbody,0,162,1902.5379334175639,14,0
AF,Air France,ATL,CRW,United States,North America,CRJ,Bombardier CRJ-200,1992,32,regional_jet,0,50,585.0668999383439,15,0
AF,Air France,ATL,CRW,United States,North America,319,Airbus A319,1996,28,narrowbody,0,124,585.0668999383439,15,0
AF,Air France,ATL,CSG,United States,North America,CRJ,Bombardier CRJ-200,1992,32,regional_jet,0,50,133.36375513525203,3,0
AF,Air France,ATL,CUN,Mexico,North America,M88,McDonnell Douglas MD-88,1987,37,narrowbody,0,150,1421.6576140193617,154,0
AF,Air France,ATL,CVG,United States,North America,738,Boeing 737-800,1998,26,narrowbody,0,162,602.1803007933798,75,0
AF,Air France,ATL,CVG,United States,North America,M88,McDonnell Douglas MD-88,1987,37,narrowbody,0,150,602.1803007933798,75,0
AF,Air France,ATL,CVG,United States,North America,319,Airbus A319,1996,28,narrowbody,0,124,602.1803007933798,75,0
AF,Air France,ATL,CZM,Mexico,North America,M88,McDonnell Douglas MD-88,1987,37,narrowbody,0,150,1478.8966111789432,16,0
AF,Air France,ATL,DAB,United States,North America,M90,McDonnell Douglas MD-90,1995,29,narrowbody,0,158,589.7126936511381,5,0
AF,Air France,ATL,DAL,United States,North America,CRJ,Bombardier CRJ-200,1992,32,regional_jet,0,50,1158.026383400293,36,0
AF,Air France,ATL,DAY,United States,North America,M88,McDonnell Douglas MD-88,1987,37,narrowbody,0,150,696.9614585702037,32,0
AF,Air France,ATL,DCA,United States,North America,M88,McDonnell Douglas MD-88,1987,37,narrowbody,0,150,880.0933329876362,192,0
AF,Air France,ATL,DCA,United States,North America,M90,McDonnell Douglas MD-90,1995,29,narrowbody,0,158,880.0933329876362,192,0
AF,Air France,ATL,DCA,United States,North America,320,Airbus A320,1988,36,narrowbody,0,150,880.0933329876362,192,0
AF,Air France,ATL,DEN,United States,North America,M90,McDonnell Douglas MD-90,1995,29,narrowbody,0,158,1926.6178297784163,374,0
AF,Air France,ATL,DEN,United States,North America,757,Boeing 757-200,1983,41,narrowbody,0,200,1926.6178297784163,374,0
AF,Air France,ATL,DEN,United States,North America,738,Boeing 737-800,1998,26,narrowbody,0,162,1926.6178297784163,374,0
AF,Air France,ATL,DFW,United States,North America,M88,McDonnell Douglas MD-88,1987,37,narrowbody,0,150,1174.5318236036762,467,0
AF,Air France,ATL,DFW,United States,North America,319,Airbus A319,1996,28,narrowbody,0,124,1174.5318236036762,467,0
AF,Air France,ATL,DHN,United States,North America,CRJ,Bombardier CRJ-200,1992,32,regional_jet,0,50,274.7080703306349,3,0
AF,Air France,ATL,DSM,United States,North America,M88,McDonnell Douglas MD-88,1987,37,narrowbody,0,150,1195.7717645356188,28,0
AF,Air France,ATL,DTW,United States,North America,M88,McDonnell Douglas MD-88,1987,37,narrowbody,0,150,958.1975913594938,217,0
AF,Air France,ATL,DTW,United States,North America,M90,McDonnell Douglas MD-90,1995,29,narrowbody,0,158,958.1975913594938,217,0
AF,Air France,ATL,DTW,United States,North America,757,Boeing 757-200,1983,41,narrowbody,0,200,958.1975913594938,217,0
AF,Air France,ATL,DUB,Ireland,Europe,76W,Boeing 767-300ER (winglets),1988,36,widebody,1,218,6322.9025137978815,207,0
AF,Air France,ATL,DUS,Germany,Europe,76W,Boeing 767-300ER (winglets),1988,36,widebody,1,218,7236.381003970272,285,0
AF,Air France,ATL,ECP,United States,North America,717,Boeing 717,1999,25,narrowbody,0,106,386.78515770925776,7,0
AF,Air France,ATL,ECP,United States,North America,M88,McDonnell Douglas MD-88,1987,37,narrowbody,0,150,386.78515770925776,7,0
AF,Air France,ATL,ELP,United States,North America,M88,McDonnell Douglas MD-88,1987,37,narrowbody,0,150,2059.5544231171243,23,0
AF,Air France,ATL,EVV,United States,North America,CRJ,Bombardier CRJ-200,1992,32,regional_jet,0,50,563.5671813013649,9,0
AF,Air France,ATL,EWN,United States,North America,CRJ,Bombardier CRJ-200,1992,32,regional_jet,0,50,696.3169163964745,5,0
AF,Air France,ATL,EWR,United States,North America,717,Boeing 717,1999,25,narrowbody,0,106,1199.316353924153,252,0
AF,Air France,ATL,EYW,United States,North America,73W,Boeing 737-700 (winglets),1998,26,narrowbody,0,143,1042.3425917786137,17,0
AF,Air France,ATL,EYW,United States,North America,CR7,Bombardier CRJ-700,2001,23,regional_jet,0,70,1042.3425917786137,17,0
AF,Air France,ATL,FAY,United States,North America,CRJ,Bombardier CRJ-200,1992,32,regional_jet,0,50,531.2309701068226,8,0
AF,Air France,ATL,FAY,United States,North America,73W,Boeing 737-700 (winglets),1998,26,narrowbody,0,143,531.2309701068226,8,0
AF,Air France,ATL,FCO,Italy,Europe,333,Airbus A330-300,1994,30,widebody,1,277,8085.346591570423,331,0
AF,Air France,ATL,FLL,United States,North America,757,Boeing 757-200,1983,41,narrowbody,0,200,936.441360903343,188,0
AF,Air France,ATL,FLL,United States,North America,M90,McDonnell Douglas MD-90,1995,29,narrowbody,0,158,936.441360903343,188,0
AF,Air France,ATL,FNT,United States,North America,M88,McDonnell Douglas MD-88,1987,37,narrowbody,0,150,1039.0115901398274,12,0
AF,Air France,ATL,FRA,Germany,Europe,764,Boeing 767-400,2000,24,widebody,1,245,7409.649808022339,493,0
AF,Air France,ATL,FSM,United States,North America,CRJ,Bombardier CRJ-200,1992,32,regional_jet,0,50,929.9351484718937,5,0
AF,Air France,ATL,FWA,United States,North America,CRJ,Bombardier CRJ-200,1992,32,regional_jet,0,50,819.1739529373724,16,0
AF,Air France,ATL,GDL,Mexico,North America,320,Airbus A320,1988,36,narrowbody,0,150,2363.848835053403,92,0
AF,Air France,ATL,GNV,United States,North America,CR9,Bombardier CRJ-900,2003,21,regional_jet,0,90,483.9359906282761,12,0
AF,Air France,ATL,GNV,United States,North America,717,Boeing 717,1999,25,narrowbody,0,106,483.9359906282761,12,0
AF,Air France,ATL,GNV,United States,North America,CR7,Bombardier CRJ-700,2001,23,regional_jet,0,70,483.9359906282761,12,0
AF,Air France,ATL,GPT,United States,North America,M88,McDonnell Douglas MD-88,1987,37,narrowbody,0,150,565.9744945565579,9,0
AF,Air France,ATL,GPT,United States,North America,CR7,Bombardier CRJ-700,2001,23,regional_jet,0,70,565.9744945565579,9,0
AF,Air France,ATL,GPT,United States,North America,CRJ,Bombardier CRJ-200,1992,32,regional_jet,0,50,565.9744945565579,9,0
AF,Air France,ATL,GRB,United States,North America,CR7,Bombardier CRJ-700,2001,23,regional_jet,0,70,1247.5339721419944,8,0
AF,Air France,ATL,GRK,United States,North America,CR9,Bombardier CRJ-900,2003,21,regional_jet,0,90,1289.7897422212989,6,0
AF,Air France,ATL,GRR,United States,North America,M88,McDonnell Douglas MD-88,1987,37,narrowbody,0,150,1032.303554138231,28,0
AF,Air France,ATL,GRR,United States,North America,320,Airbus A320,1988,36,narrowbody,0,150,1032.303554138231,28,0
AF,Air France,ATL,GSO,United States,North America,M88,McDonnell Douglas MD-88,1987,37,narrowbody,0,150,492.6065324161367,26,0
AF,Air France,ATL,GSO,United States,North America,320,Airbus A320,1988,36,narrowbody,0,150,492.6065324161367,26,0
AF,Air France,ATL,GSO,United States,North America,319,Airbus A319,1996,28,narrowbody,0,124,492.6065324161367,26,0
AF,Air France,ATL,GSP,United States,North America,CR7,Bombardier CRJ-700,2001,23,regional_jet,0,70,246.5917792704738,29,0
AF,Air France,ATL,GSP,United States,North America,319,Airbus A319,1996,28,narrowbody,0,124,246.5917792704738,29,0
AF,Air France,ATL,GSP,United States,North America,M88,McDonnell Douglas MD-88,1987,37,narrowbody,0,150,246.5917792704738,29,0
AF,Air France,ATL,GSP,United States,North America,717,Boeing 717,1999,25,narrowbody,0,106,246.5917792704738,29,0
AF,Air France,ATL,GSP,United States,North America,CRJ,Bombardier CRJ-200,1992,32,regional_jet,0,50,246.5917792704738,29,0
AF,Air France,ATL,GTR,United States,North America,CRJ,Bombardier CRJ-200,1992,32,regional_jet,0,50,386.3731483179377,3,0
AF,Air France,ATL,HPN,United States,North America,CR7,Bombardier CRJ-700,2001,23,regional_jet,0,70,1255.4471146665528,23,0
AF,Air France,ATL,HSV,United States,North America,717,Boeing 717,1999,25,narrowbody,0,106,242.96364002557888,18,0
AF,Air France,ATL,HSV,United States,North America,M88,McDonnell Douglas MD-88,1987,37,narrowbody,0,150,242.96364002557888,18,0
AF,Air France,ATL,HSV,United States,North America,CRJ,Bombardier CRJ-200,1992,32,regional_jet,0,50,242.96364002557888,18,0
AF,Air France,ATL,IAD,United States,North America,320,Airbus A320,1988,36,narrowbody,0,150,859.0311610793252,190,0
AF,Air France,ATL,IAD,United States,North America,M88,McDonnell Douglas MD-88,1987,37,narrowbody,0,150,859.0311610793252,190,0
AF,Air France,ATL,IAH,United States,North America,M88,McDonnell Douglas MD-88,1987,37,narrowbody,0,150,1107.5625747320166,242,0
AF,Air France,ATL,IAH,United States,North America,717,Boeing 717,1999,25,narrowbody,0,106,1107.5625747320166,242,0
AF,Air France,ATL,IAH,United States,North America,320,Airbus A320,1988,36,narrowbody,0,150,1107.5625747320166,242,0
AF,Air France,ATL,IAH,United States,North America,319,Airbus A319,1996,28,narrowbody,0,124,1107.5625747320166,242,0
AF,Air France,ATL,ICT,United States,North America,CR9,Bombardier CRJ-900,2003,21,regional_jet,0,90,1255.6787625519178,20,0
AF,Air France,ATL,ICT,United States,North America,M88,McDonnell Douglas MD-88,1987,37,narrowbody,0,150,1255.6787625519178,20,0
AF,Air France,ATL,ILM,United States,North America,CRJ,Bombardier CRJ-200,1992,32,regional_jet,0,50,605.8847963590904,13,0
AF,Air France,ATL,ILM,United States,North America,319,Airbus A319,1996,28,narrowbody,0,124,605.8847963590904,13,0
AF,Air France,ATL,IND,United States,North America,320,Airbus A320,1988,36,narrowbody,0,150,696.265301572822,69,0
AF,Air France,ATL,IND,United States,North America,M88,McDonnell Douglas MD-88,1987,37,narrowbody,0,150,696.265301572822,69,0
AF,Air France,ATL,IND,United States,North America,M90,McDonnell Douglas MD-90,1995,29,narrowbody,0,158,696.265301572822,69,0
AF,Air France,ATL,JAN,United States,North America,717,Boeing 717,1999,25,narrowbody,0,106,546.9875906917429,18,0
AF,Air France,ATL,JAN,United States,North America,CR9,Bombardier CRJ-900,2003,21,regional_jet,0,90,546.9875906917429,18,0
AF,Air France,ATL,JAN,United States,North America,M88,McDonnell Douglas MD-88,1987,37,narrowbody,0,150,546.9875906917429,18,0
AF,Air France,ATL,JAN,United States,North America,CRJ,Bombardier CRJ-200,1992,32,regional_jet,0,50,546.9875906917429,18,0
